Author	n (strains)	publication title	journal	publication URL	strains
Chen et al	5	unknown	unknown	unknown	Wuhan/WH01/2019,HongKong/CUHK1/2020,Wuhan/WHU02/2020,Wuhan/WHU01/2020,Wuhan/WH03/2020
Zhou et al	5	unknown	unknown	unknown	Wuhan/WIV07/2019,Wuhan/WIV05/2019,Wuhan/WIV02/2019,Wuhan/WIV04/2019,Wuhan/WIV06/2019
Ren et al	4	unknown	unknown	unknown	Wuhan/IPBCAMS-WH-01/2019,Wuhan/IPBCAMS-WH-03/2019,Wuhan/IPBCAMS-WH-02/2019,Wuhan/IPBCAMS-WH-04/2019
Tan et al	2	unknown	unknown	unknown	Wuhan/IVDC-HB-05/2019,Wuhan/IVDC-HB-01/2019
Kim et al	16	unknown	unknown	unknown	SouthKorea/KCDC24/2020,Korea/KCDC2002/2020,SouthKorea/KCDC05/2020,SouthKorea/KCDC07/2020,Korea/KCDC2006/2020,Korea/KCDC2008/2020,Korea/KCDC2009/2020,Korea/KCDC2011/2020,Korea/KCDC2010/2020,SouthKorea/KCDC03/2020,SouthKorea/KCDC06/2020,Korea/KCDC2001/2020,Korea/KCDC2007/2020,SouthKorea/KCDC12/2020,Korea/KCDC2005/2020,Korea/KCDC2004/2020
Potdar et al	2	unknown	unknown	unknown	India/1-31/2020,India/1-27/2020
Galiano et al	42	unknown	unknown	unknown	England/01/2020,England/02/2020,England/20144003804/2020,England/20102000106/2020,England/200990006/2020,England/09c/2020,England/20102088002/2020,England/200940527/2020,England/200990725/2020,England/200990724/2020,England/20100001406/2020,England/20148006904/2020,England/20142130404/2020,England/20132032904/2020,England/20132106104/2020,England/20122119302/2020,England/200690306/2020,England/200690756/2020,England/200641094/2020,England/20146001704/2020,England/20132079304/2020,England/20146049204/2020,England/20148041104/2020,England/200690245/2020,England/200690300/2020,England/20146005804/2020,England/200990723/2020,England/20146069704/2020,England/20146069604/2020,England/20109050406/2020,England/20148006604/2020,England/20099038206/2020,England/20130071804/2020,England/20148043704/2020,England/20146025304/2020,England/20100004806/2020,England/200990660/2020,England/20146004804/2020,England/20146004904/2020,England/20148065004/2020,England/20144074604/2020,England/20144074404/2020
Li et al	16	unknown	unknown	unknown	USA/IL2/2020,Hangzhou/HZCDC6789/2020,Shangrao/JX1215/2020,Shangrao/JX1178/2020,Hangzhou/HZCDC0049L/2020,Hangzhou/HZCDC0091L/2020,Hangzhou/HZCDC0090L/2020,Hangzhou/HZCDC0048/2020,Hangzhou/HZCDC0048L/2020,Hangzhou/HZCDC0119/2020,Hangzhou/HZCDC0135/2020,Hangzhou/HZCDC0001/2020,Hangzhou/HZCDC6706/2020,USA/PA_1881/2020,USA/PA_2317/2020,USA/NH_0033/2020
Uehara et al	5	unknown	unknown	unknown	USA/CA1/2020,USA/CA2/2020,USA/TX_2020/2020,USA/FL_5091/2020,USA/FL_5125/2020
Dominic N.C. Tsang et al	7	unknown	unknown	unknown	HongKong/VM20001061/2020,HongKong/VM20002493/2020,HongKong/VM20002582/2020,HongKong/VB20024950/2020,HongKong/VM20002507/2020,HongKong/VB20026565/2020,HongKong/VM20002849/2020
Wang et al	14	unknown	unknown	unknown	HongKong/XM-PII-S4/2020,Shanghai/SH0117/2020,Shanghai/SH0002/2020,Shanghai/SH0003/2020,Shanghai/SH0054/2020,Shanghai/SH0121/2020,Shanghai/SH0073/2020,Shanghai/SH0028/2020,Shanghai/SH0044/2020,Shanghai/SH0102/2020,Shanghai/SH0101/2020,Shanghai/SH0077/2020,Shanghai/SH0119/2020,Shanghai/SH0027/2020
