Author	n (strains)	publication title	journal	publication URL	strains
Wang et al	95	unknown	unknown	unknown	Shanghai/SH0007/2020,Shanghai/SH0036/2020,Shanghai/SH0114/2020,Shanghai/SH0107/2020,Shanghai/SH0020/2020,Shanghai/SH0039/2020,Shanghai/SH0075/2020,Shanghai/SH0021/2020,Shanghai/SH0010/2020,Shanghai/SH0030/2020,Shanghai/SH0034/2020,Shanghai/SH0026/2020,Shanghai/SH0041/2020,Shanghai/SH0115/2020,Shanghai/SH0100/2020,Shanghai/SH0035/2020,Shanghai/SH0117/2020,Shanghai/SH0003/2020,Shanghai/SH0002/2020,Shanghai/SH0017/2020,HongKong/XM-PII-S4/2020,Shanghai/SH0128/2020,Shanghai/SH0079/2020,Shanghai/SH0029/2020,Shanghai/SH0049/2020,Shanghai/SH0032/2020,Shanghai/SH0059/2020,Shanghai/SH0004/2020,Shanghai/SH0005/2020,Shanghai/SH0074/2020,Shanghai/SH0069/2020,Shanghai/SH0009/2020,Shanghai/SH0065/2020,Shanghai/SH0013/2020,Shanghai/SH0043/2020,Shanghai/SH0024/2020,Shanghai/SH0071/2020,Shanghai/SH0106/2020,Shanghai/SH0047/2020,Shanghai/SH0085/2020,Shanghai/SH0094/2020,Shanghai/SH0104/2020,Shanghai/SH0058/2020,Shanghai/SH0052/2020,Shanghai/SH0050/2020,Shanghai/SH0037/2020,Shanghai/SH0012/2020,Shanghai/SH0098/2020,Shanghai/SH0056/2020,Shanghai/SH0040/2020,Shanghai/SH0127/2020,Shanghai/SH0109/2020,Shanghai/SH0066/2020,Shanghai/SH0048/2020,Shanghai/SH0091/2020,Shanghai/SH0011/2020,Shanghai/SH0072/2020,Shanghai/SH0031/2020,Shanghai/SH0033/2020,Shanghai/SH0068/2020,Shanghai/SH0045/2020,Shanghai/SH0042/2020,Shanghai/SH0081/2020,Shanghai/SH0070/2020,Shanghai/SH0080/2020,Shanghai/SH0125/2020,Shanghai/SH0126/2020,Shanghai/SH0022/2020,Shanghai/SH0023/2020,Shanghai/SH0008/2020,Shanghai/SH0060/2020,Shanghai/SH0121/2020,Shanghai/SH0093/2020,Shanghai/SH0053/2020,Shanghai/SH0088/2020,Shanghai/SH0055/2020,Shanghai/SH0051/2020,Shanghai/SH0067/2020,Shanghai/SH0076/2020,Shanghai/SH0038/2020,Shanghai/SH0083/2020,Shanghai/SH0101/2020,Shanghai/SH0077/2020,Shanghai/SH0044/2020,Shanghai/SH0102/2020,Shanghai/SH0073/2020,Shanghai/SH0119/2020,Shanghai/SH0112/2020,Shanghai/SH0027/2020,Shanghai/SH0110/2020,Shanghai/SH0054/2020,Shanghai/SH0028/2020,Shanghai/SH0025/2020,Shanghai/SH0086/2020,Shanghai/SH0014/2020
Tan et al	9	unknown	unknown	unknown	Wuhan/IVDC-HB-05/2019,Wuhan/IVDC-HB-04/2020,Yunnan/IVDC-YN-003/2020,Sichuan/IVDC-SC-001/2020,Wuhan/IVDC-HB-01/2019,Jiangxi/IVDC-JX-002/2020,Shandong/IVDC-SD-001/2020,Chongqing/IVDC-CQ-001/2020,Jiangsu/IVDC-JS-001/2020
Lu et al	40	unknown	unknown	unknown	Guangdong/2020XN4373-P0039/2020,Guangdong/GDFS2020127-P0026/2020,Guangdong/2020XN4448-P0002/2020,Guangdong/GD2020139-P0007/2020,Guangdong/2020XN4475-P0042/2020,Guangdong/2020XN4273-P0036/2020,Guangdong/2020XN4243-P0035/2020,Guangdong/GZ-S6-P0050/2020,Guangdong/SZ-N128-P0057/2020,Guangdong/2020XN4291-P0038/2020,Guangdong/2020XN4276-P0037/2020,Guangdong/GD2020086-P0021/2020,Guangdong/GD2020234-P0023/2020,Guangdong/FS-S30-P0052/2020,Guangdong/GD2020233-P0027/2020,Guangdong/GDSZ202015-P0019/2020,Guangdong/2020XN4459-P0041/2020,Guangdong/ZS-S6-P0060/2020,Guangdong/GD2020258-P0018/2020,Guangdong/GDSZ202004-P0004/2020,Guangdong/GD2020087-P0008/2020,Guangdong/SZ-N59-P0049/2020,Guangdong/2020XN4239-P0034/2020,Guangdong/DG-S41-P0056/2020,Guangdong/GD2020115-P0009/2020,Guangdong/GD2020246-P0028/2020,Guangdong/GDSZ202008-P0020/2020,Guangdong/GD2020080-P0010/2020,Guangdong/GD2020227-P0029/2020,Guangdong/GD2020134-P0031/2020,Guangdong/FS-S48-P0047/2020,Guangdong/DG-S9-P0045/2020,Guangdong/ZH-S33-P0058/2020,Guangdong/FS-S50-P0053/2020,Guangdong/JM-S1-P0062/2020,Guangdong/MM-S1-P0048/2020,Guangdong/DG-S2-P0054/2020,Guangdong/2020XN4433-P0040/2020,Guangdong/GDFS2020052-P0025/2020,Guangdong/GDFS2020054-P0005/2020
Fang et al	9	unknown	unknown	unknown	Wuhan/HBCDC-HB-01/2019,Wuhan/HBCDC-HB-02/2019,Wuhan/HBCDC-HB-06/2020,Wuhan/HBCDC-HB-02/2020,Tianmen/HBCDC-HB-07/2020,Wuhan/HBCDC-HB-04/2020,Wuhan/HBCDC-HB-03/2020,Wuhan/HBCDC-HB-03/2019,Wuhan/HBCDC-HB-05/2020
Yao et al	11	unknown	unknown	unknown	Hangzhou/ZJU-07/2020,Hangzhou/ZJU-08/2020,Hangzhou/ZJU-02/2020,Hangzhou/ZJU-09/2020,Hangzhou/ZJU-011/2020,Hangzhou/ZJU-06/2020,Hangzhou/ZJU-01/2020,Hangzhou/ZJU-010/2020,Hangzhou/ZJU-03/2020,Hangzhou/ZJU-04/2020,Hangzhou/ZJU-05/2020
Zhou et al	5	unknown	unknown	unknown	Wuhan/WIV07/2019,Wuhan/WIV05/2019,Wuhan/WIV02/2019,Wuhan/WIV04/2019,Wuhan/WIV06/2019
Li et al	50	unknown	unknown	unknown	Jian/JX129/2020,Shangrao/JX105/2020,Nanchang/JX90/2020,Nanchang/JX14/2020,Nanchang/JX39/2020,Anhui/SZ005/2020,Nanchang/JX177/2020,Beijing/233/2020,Beijing/231/2020,Beijing/235/2020,Beijing/105/2020,USA/IL2/2020,Nanchang/JX174/2020,Jiujiang/JX22/2020,Shangrao/JX29/2020,Nanchang/JX149/2020,Shangrao/JX1948/2020,Nanchang/JXN3T4/2020,Ganzhou/JX81/2020,Xinyu/JX122/2020,Shangrao/JX1176/2020,Shangrao/JX1177/2020,Jian/JX169/2020,Hangzhou/HZCDC0025/2020,Pingxiang/JX5/2020,Hangzhou/HZCDC0012/2020,Hangzhou/HZCDC0013/2020,Xinyu/JX124/2020,Nanchang/JX155/2020,Nanchang/JX176/2020,Hangzhou/HZCDC0167/2020,Hangzhou/HZCDC6789/2020,Shangrao/JX1974/2020,Shangrao/JX1215/2020,Pingxiang/JX151/2020,Shangrao/JX1178/2020,Hangzhou/HZCDC0090L/2020,Hangzhou/HZCDC0090/2020,Hangzhou/HZCDC0091/2020,Hangzhou/HZCDC0162/2020,Hangzhou/HZCDC0001/2020,Hangzhou/HZCDC0091L/2020,Hangzhou/HZCDC0048L/2020,Hangzhou/HZCDC0049L/2020,Hangzhou/HZCDC0048/2020,Hangzhou/HZCDC0135/2020,Hangzhou/HZCDC0119/2020,Hangzhou/HZCDC6706/2020,USA/VA_6377/2020,USA/PA_4395/2020
Ren et al	4	unknown	unknown	unknown	Wuhan/IPBCAMS-WH-03/2019,Wuhan/IPBCAMS-WH-01/2019,Wuhan/IPBCAMS-WH-04/2019,Wuhan/IPBCAMS-WH-02/2019
Chen et al	10	unknown	unknown	unknown	Wuhan/WH01/2019,Wuhan/WH04/2020,Wuhan/WH05/2020,HongKong/CUHK1/2020,Wuhan/WHU01/2020,Wuhan/WH03/2020,Australia/NSW38/2020,Wuhan/WHU02/2020,Zhejiang/WZ-01/2020,USA/NY-NYUMC2/2020
Nieuwenhuijse et al	13	unknown	unknown	unknown	Netherlands/Oss_1363500/2020,Netherlands/Tilburg_1363354/2020,Netherlands/Utrecht_17/2020,Netherlands/Loon_op_zand_1363512/2020,Luxembourg/Lux1/2020,Netherlands/Diemen_1363454/2020,Netherlands/Helmond_1363548/2020,Netherlands/Berlicum_1363564/2020,Netherlands/Delft_1363424/2020,Netherlands/NA_17/2020,NetherlandsL/Houten_1363498/2020,Netherlands/NoordBrabant_21/2020,Netherlands/Gelderland_2/2020
