Author	n (strains)	publication title	journal	publication URL	strains
Rockett et al	4	unknown	unknown	unknown	Australia/NSW02/2020,Australia/NSW09/2020,Australia/NSW08/2020,Australia/NSW10/2020
Deng et al	2	unknown	unknown	unknown	USA/CA-CDPH-UC2/2020,USA/CA-SCCPHD-UC14/2020
Fang et al	3	unknown	unknown	unknown	Wuhan/HBCDC-HB-01/2019,Wuhan/HBCDC-HB-02/2019,Wuhan/HBCDC-HB-03/2019
Chen et al	5	unknown	unknown	unknown	Wuhan/WH01/2019,Wuhan/WH04/2020,Wuhan/WH05/2020,HongKong/CUHK1/2020,Wuhan/WHU01/2020
Tan et al	4	unknown	unknown	unknown	Wuhan/IVDC-HB-05/2019,Wuhan/IVDC-HB-04/2020,Wuhan/IVDC-HB-01/2019,Chongqing/IVDC-CQ-001/2020
Zhou et al	5	unknown	unknown	unknown	Wuhan/WIV05/2019,Wuhan/WIV07/2019,Wuhan/WIV02/2019,Wuhan/WIV06/2019,Wuhan/WIV04/2019
Ren et al	4	unknown	unknown	unknown	Wuhan/IPBCAMS-WH-03/2019,Wuhan/IPBCAMS-WH-01/2019,Wuhan/IPBCAMS-WH-02/2019,Wuhan/IPBCAMS-WH-04/2019
Galiano et al	308	unknown	unknown	unknown	England/20109093606/2020,England/01/2020,England/02/2020,England/20134079704/2020,England/20134077404/2020,England/20129164904/2020,England/20144003804/2020,England/20142015104/2020,England/200990002/2020,England/200960041/2020,England/200960515/2020,England/20109094206/2020,England/20139022004/2020,England/200990006/2020,England/20132035904/2020,England/20100122106/2020,England/20139047104/2020,England/20134082204/2020,England/20132018904/2020,England/20134021004/2020,England/20100001406/2020,England/20129013302/2020,England/09c/2020,England/20128085204/2020,England/20134017104/2020,England/201360134/2020,England/20146004504/2020,England/20134069004/2020,England/20146009204/2020,England/20130073704/2020,England/20139032004/2020,England/20139031804/2020,England/20130073404/2020,England/20148041604/2020,England/20138082004/2020,England/20142053204/2020,England/20148048004/2020,England/20148046704/2020,England/20148039404/2020,England/20134079504/2020,England/200940527/2020,England/200990725/2020,England/200990724/2020,England/20102088002/2020,England/20134003304/2020,England/20118044606/2020,England/20124101102/2020,England/20134005004/2020,England/20130062404/2020,England/20129021604/2020,England/20130027103/2020,England/20126007202/2020,England/20126033404/2020,England/20132080804/2020,England/20139068504/2020,England/20139014404/2020,England/20139016104/2020,England/20148003904/2020,England/20129036504/2020,England/20144071504/2020,England/20144071404/2020,England/20132072602/2020,England/201360201/2020,England/20132107704/2020,England/20129012704/2020,England/20134023204/2020,England/20124036202/2020,England/20132067404/2020,England/20128031902/2020,England/20126008004/2020,England/20129174404/2020,England/20126036204/2020,England/20128015004/2020,England/20130034004/2020,England/20148044604/2020,England/20138007104/2020,England/20132022204/2020,England/20148006904/2020,England/20129015704/2020,England/201360188/2020,England/20126025202/2020,England/20128003104/2020,England/20122119302/2020,England/201360191/2020,England/20132054504/2020,England/20142130404/2020,England/20139023604/2020,England/20129066504/2020,England/20146005704/2020,England/20130049804/2020,England/20102000106/2020,England/20138019604/2020,England/20126095704/2020,England/20128037306/2020,England/20124095002/2020,England/20138087304/2020,England/20132080004/2020,England/20130034404/2020,England/20102087902/2020,England/20110000806/2020,England/20129022804/2020,England/20126008506/2020,England/20134001104/2020,England/20144018704/2020,England/20129133804/2020,England/20146015504/2020,England/20142022104/2020,England/20134004204/2020,England/20146011804/2020,England/20144072804/2020,England/20129154104/2020,England/20132054604/2020,England/20129040102/2020,England/20146049204/2020,England/20139038004/2020,England/20132079304/2020,England/201380276/2020,England/20130071404/2020,England/20148002104/2020,England/20124003902/2020,England/20146001704/2020,England/20132023204/2020,England/20148041104/2020,England/200641094/2020,England/200690306/2020,England/200690300/2020,England/200690245/2020,England/200690756/2020,England/20130036004/2020,England/20148002504/2020,England/20148002404/2020,England/20129145002/2020,England/20129056804/2020,England/20130036504/2020,England/20146005804/2020,England/20142082204/2020,England/20146064604/2020,England/20144016004/2020,England/20139046804/2020,England/200990723/2020,England/20129096504/2020,England/20130055602/2020,England/20139050802/2020,England/20146005204/2020,England/20146005304/2020,England/20129035304/2020,England/20108004702/2020,England/20104013703/2020,England/20100024006/2020,England/20144049404/2020,England/20146069604/2020,England/20146069704/2020,England/20134019402/2020,England/20134006604/2020,England/20109050406/2020,England/20148006604/2020,England/20140007702/2020,England/20142061004/2020,England/20124094506/2020,England/20124095202/2020,England/20108006003/2020,England/20099038206/2020,England/20136006402/2020,England/20146019704/2020,England/20129128904/2020,England/20140038604/2020,England/20130064304/2020,England/20144074804/2020,England/20144074904/2020,England/20126012506/2020,England/20139027104/2020,England/20134059604/2020,England/20139022704/2020,England/20144070104/2020,England/20139004204/2020,England/20139035504/2020,England/20132020404/2020,England/201380041/2020,England/20148004904/2020,England/20148004704/2020,England/20146025504/2020,England/20146018404/2020,England/201340857/2020,England/20132108404/2020,England/201340855/2020,England/20140007802/2020,England/20139057704/2020,England/20128034302/2020,England/20140070504/2020,England/20142062604/2020,England/20132091504/2020,England/201361041/2020,England/20138009704/2020,England/20146025304/2020,England/20132092004/2020,England/20139054004/2020,England/20130034304/2020,England/20130071804/2020,England/20144074704/2020,England/20139062504/2020,England/20139045804/2020,England/20109097703/2020,England/20132100204/2020,England/20139010604/2020,England/20146008104/2020,England/20146006604/2020,England/20144071604/2020,England/20139003604/2020,England/20139015704/2020,England/20146019004/2020,England/20140073904/2020,England/20148043704/2020,England/20144006304/2020,England/20142026502/2020,England/20129035404/2020,England/20129176002/2020,England/20139065404/2020,England/20146001004/2020,England/20146063404/2020,England/20134016002/2020,England/201380215/2020,England/201380042/2020,England/201360136/2020,England/20144019904/2020,England/20128034402/2020,England/20134072104/2020,England/20148003404/2020,England/20146006704/2020,England/20139000904/2020,England/20146006904/2020,England/201380054/2020,England/20144006904/2020,England/20139060404/2020,England/20134027904/2020,England/20136096904/2020,England/20126027106/2020,England/20144017704/2020,England/20100022706/2020,England/200981386/2020,England/20140039204/2020,England/20146062504/2020,England/20140064504/2020,England/20126002104/2020,England/20128046202/2020,England/20148065004/2020,England/20132021004/2020,England/201360317/2020,England/201360277/2020,England/20130072104/2020,England/20134083104/2020,England/20129038804/2020,England/20144074604/2020,England/20144074404/2020,England/20148026504/2020,England/20132048102/2020,England/20146061504/2020,England/20140007602/2020,England/20134021704/2020,England/20100121006/2020,England/20100121007/2020,England/20100004806/2020,England/20100004706/2020,England/200990660/2020,England/20100005406/2020,England/201360131/2020,England/20140039404/2020,England/20139035104/2020,England/20146004804/2020,England/20146004904/2020,England/20146064304/2020,England/20138017804/2020,England/20139047804/2020,England/201360216/2020,England/20126003902/2020,England/20136087804/2020,England/20126002004/2020,England/20144076204/2020,England/20144075204/2020,England/20144071004/2020,England/20144076304/2020,England/20124036306/2020,England/20146007404/2020,England/20142016204/2020,England/20138007704/2020,England/20134027304/2020,England/20146062104/2020,England/20144004904/2020,England/20144072604/2020,England/20130061304/2020,England/20140009404/2020,England/20134022104/2020,England/20109047803/2020,England/20134002104/2020,England/201360053/2020,England/20134047404/2020,England/20139007004/2020,England/20139004304/2020,England/20132081104/2020,England/20134047504/2020,England/20104003002/2020,England/20140039104/2020,England/20134018602/2020,England/20134015902/2020,England/20099107406/2020,England/20108003302/2020,England/20110000706/2020,England/20140003802/2020,England/20146060504/2020
Alan K.L. Tsang et al	1	unknown	unknown	unknown	HongKong/VB20017970/2020
Kenneth Siu-Sing LEUNG et al	21	unknown	unknown	unknown	HongKong/HKPU2_1801/2020,HongKong/HKPU1_2101/2020,HongKong/HKPU6_2101/2020,HongKong/HKPU65-1202/2020,HongKong/HKPU20_3001/2020,HongKong/HKPU19_0402/2020,HongKong/HKPU102_2802/2020,HongKong/HKPU23_2601/2020,HongKong/HKPU74-1302/2020,HongKong/HKPU64-1202/2020,HongKong/HKPU91-2002/2020,HongKong/HKPU89-2502/2020,HongKong/HKPU83-1702/2020,HongKong/HKPU12_2201/2020,HongKong/HKPU49-3001/2020,HongKong/HKPU52-3101/2020,HongKong/HKPU17_2201/2020,HongKong/HKPU28_3001/2020,HongKong/HKPU60-0802/2020,HongKong/HKPU57-0702/2020,HongKong/HKPU66-2501/2020
Caly et al	22	unknown	unknown	unknown	Australia/VIC01/2020,Australia/VIC13/2020,Australia/VIC07/2020,Australia/VIC138/2020,Australia/VIC15/2020,Australia/VIC02/2020,Australia/VIC03/2020,Australia/VIC176/2020,Australia/VIC152/2020,Australia/VIC14/2020,Australia/VIC26/2020,Australia/VIC197/2020,Australia/VIC29/2020,Australia/VIC240/2020,Australia/VIC199/2020,Australia/VIC202/2020,Australia/VIC148/2020,Australia/VIC201/2020,Australia/VIC154/2020,Australia/VIC284/2020,Australia/VIC286/2020,Australia/VIC285/2020
