Author	n (strains)	publication title	journal	publication URL	strains
Chen et al	13	unknown	unknown	unknown	Wuhan/WH01/2019,USA/NY-NYUMC1/2020,USA/AK-PHL037/2020,USA/AK-PHL015/2020,Wuhan/WH04/2020,Wuhan/WHU02/2020,USA/AK-PHL006/2020,USA/AK-PHL077/2020,USA/AK-PHL002/2020,USA/AK-PHL003/2020,USA/NY-NYUMC4/2020,USA/NY-NYUMC3/2020,USA/NY-NYUMC2/2020
Ren et al	4	unknown	unknown	unknown	Wuhan/IPBCAMS-WH-03/2019,Wuhan/IPBCAMS-WH-01/2019,Wuhan/IPBCAMS-WH-04/2019,Wuhan/IPBCAMS-WH-02/2019
Tan et al	2	unknown	unknown	unknown	Wuhan/IVDC-HB-05/2019,Wuhan/IVDC-HB-01/2019
Fang et al	3	unknown	unknown	unknown	Wuhan/HBCDC-HB-01/2019,Wuhan/HBCDC-HB-02/2019,Wuhan/HBCDC-HB-03/2019
Zhou et al	5	unknown	unknown	unknown	Wuhan/WIV05/2019,Wuhan/WIV07/2019,Wuhan/WIV02/2019,Wuhan/WIV04/2019,Wuhan/WIV06/2019
Rockett et al	4	unknown	unknown	unknown	Australia/NSW02/2020,Australia/NSW09/2020,Australia/NSW08/2020,Australia/NSW10/2020
Alan K.L. Tsang et al	1	unknown	unknown	unknown	HongKong/VB20017970/2020
Kenneth Siu-Sing LEUNG et al	21	unknown	unknown	unknown	HongKong/HKPU2_1801/2020,HongKong/HKPU102_2802/2020,HongKong/HKPU92-1302/2020,HongKong/HKPU36-0702/2020,HongKong/HKPU23_2601/2020,HongKong/HKPU38-3001/2020,HongKong/HKPU32_0402/2020,HongKong/HKPU41-0802/2020,HongKong/HKPU33_0202/2020,HongKong/HKPU30_2901/2020,HongKong/HKPU29_0102/2020,HongKong/HKPU27_3001/2020,HongKong/HKPU39-3001/2020,HongKong/HKPU40-2801/2020,HongKong/HKPU_2801/2020,HongKong/HKPU43-0202/2020,HongKong/HKPU44-0102/2020,HongKong/HKPU12_2201/2020,HongKong/HKPU1_2101/2020,HongKong/HKPU6_2101/2020,HongKong/HKPU57-0702/2020
Huang et al	8	unknown	unknown	unknown	Australia/QLDID922/2020,Australia/QLD03/2020,Australia/QLD02/2020,Australia/QLD01/2020,Australia/QLD04/2020,Australia/QLDID921/2020,Australia/QLD09/2020,Australia/QLDID924/2020
Sekizuka et al	24	unknown	unknown	unknown	Japan/KY-V-029/2020,Japan/TY-WK-501/2020,Japan/TY-WK-521/2020,Japan/TY-WK-012/2020,Japan/AI-I-004/2020,Japan/TK-20-31-3/2020,Japan/OS-20-07-1/2020,Japan/NA-20-05-1/2020,Japan/P5-1/2020,Japan/P4-1/2020,Japan/P5-2/2020,Japan/P4-5/2020,Japan/P4-4/2020,Japan/P4-3/2020,Japan/P4-2/2020,Japan/P4-8/2020,Japan/P4-7/2020,Japan/P4-6/2020,Japan/P5-3/2020,Japan/P3-1/2020,Japan/P3-2/2020,Japan/P2-2/2020,Japan/P2-1/2020,Japan/P1/2020
Queen et al	25	unknown	unknown	unknown	USA/CA8/2020,Korea/BA-ACH_2604/2020,Korea/BA-ACH_2719/2020,Korea/BA-ACH_2718/2020,USA/OR_5430/2020,USA/TX1/2020,USA/GA_1445/2020,USA/GA_1320/2020,USA/CA7/2020,USA/WA1/2020,USA/CA3/2020,USA/CA4/2020,USA/TX_2039/2020,USA/CA9/2020,USA/IL_1293/2020,USA/IL_1375/2020,USA/RI_0556/2020,USA/GA_1299/2020,USA/AZ_4811/2020,USA/FL_6318/2020,USA/TX_2817/2020,USA/TX_2967/2020,USA/NH_0008/2020,USA/NH_0004/2020,USA/NY_2929/2020
Caly et al	22	unknown	unknown	unknown	Australia/VIC01/2020,Australia/VIC02/2020,Australia/VIC03/2020,Australia/VIC152/2020,Australia/VIC73/2020,Australia/VIC07/2020,Australia/VIC138/2020,Australia/VIC13/2020,Australia/VIC20/2020,Australia/VIC14/2020,Australia/VIC15/2020,Australia/VIC26/2020,Australia/VIC101/2020,Australia/VIC193/2020,Australia/VIC273/2020,Australia/VIC197/2020,Australia/VIC168/2020,Australia/VIC236/2020,Australia/VIC184/2020,Australia/VIC261/2020,Australia/VIC201/2020,Australia/VIC214/2020
Yang et al	5	unknown	unknown	unknown	Taiwan/2/2020,Taiwan/3/2020,Taiwan/4/2020,Taiwan/144/2020,Taiwan/225/2020
Bengner et al	1	unknown	unknown	unknown	Sweden/01/2020
Dominic N.C. Tsang et al	5	unknown	unknown	unknown	HongKong/VB20024950/2020,HongKong/VM20002907/2020,HongKong/VM20002868/2020,HongKong/VM20001061/2020,HongKong/VB20026565/2020
Thomas S.H. Chung et al	1	unknown	unknown	unknown	canine/HongKong/20-02756/2020
Harrigan et al	58	unknown	unknown	unknown	Canada/BC_35720/2020,Canada/BC_9446031/2020,Canada/BC_78548/2020,Canada/BC_4799711/2020,Canada/BC_8606204/2020,Canada/BC_41851/2020,Canada/BC_4122951/2020,Canada/BC_83109/2020,Canada/BC_6502001/2020,Canada/BC_8896915/2020,Canada/BC_4540462/2020,Canada/BC_4118226/2020,Canada/BC_8718874/2020,Canada/BC_8159203/2020,Canada/BC_8897642/2020,Canada/BC_7277381/2020,Canada/BC_8894200/2020,Canada/BC_3968175/2020,Canada/BC_3972884/2020,Canada/BC_8150537/2020,Canada/BC_0443574/2020,Canada/BC_83163/2020,Canada/BC_64686/2020,Canada/BC_6981299/2020,Canada/BC_0554880/2020,Canada/BC_3842755/2020,Canada/BC_8622445/2020,Canada/BC_1318414/2020,Canada/BC_3808524/2020,Canada/BC_3989992/2020,Canada/BC_13297/2020,Canada/BC_02421/2020,Canada/BC_17397/2020,Canada/BC_69243/2020,Canada/BC_37_0-2/2020,Canada/BC_5282984/2020,Canada/BC_4143842/2020,Canada/BC_4143868/2020,Canada/BC_4078583/2020,Canada/BC_25211/2020,Canada/BC_65034/2020,Canada/BC_66353/2020,Canada/BC_5522039/2020,Canada/BC_6489864/2020,Canada/BC_9345042/2020,Canada/BC_9345715/2020,Canada/BC_9574898/2020,Canada/BC_8486790/2020,Canada/BC_6997898/2020,Canada/BC_7553799/2020,Canada/BC_7493713/2020,Canada/BC_6004567/2020,Canada/BC_5275718/2020,Canada/BC_5979789/2020,Canada/BC_6129127/2020,Canada/BC_5306970/2020,Canada/BC_6404889/2020,Canada/BC_7515663/2020
Chong-Yee YAU et al	1	unknown	unknown	unknown	HongKong/HKPU35_0402/2020
Uehara et al	5	unknown	unknown	unknown	USA/CA2/2020,USA/CA1/2020,USA/TX_2020/2020,USA/FL_5125/2020,USA/FL_5091/2020
Terrier et al	1	unknown	unknown	unknown	France/IDF0386-islP1/2020
Albert et al	29	unknown	unknown	unknown	France/IDF0372/2020,France/IDF0373/2020,France/GE1583/2020,France/IDF0515/2020,France/IDF0626/2020,France/N1620/2020,France/N2223/2020,France/GE1973/2020,France/IDF3324/2020,France/GE2722/2020,France/HF2797/2020,France/B1623/2020,France/HF1684/2020,France/HF2597/2020,France/IDF1980/2020,France/HF2060/2020,France/PL1643/2020,France/HF1465/2020,France/B2349/2020,France/B2330/2020,Algeria/G0860_2262/2020,Algeria/G0638_2264/2020,Algeria/G0640_2265/2020,France/IDF2359/2020,France/IDF3163/2020,France/HF2381/2020,France/HF2946/2020,France/HF2150/2020,France/HF1645/2020
Octavia et al	5	unknown	unknown	unknown	Singapore/8/2020,Singapore/7/2020,Singapore/9/2020,Singapore/10/2020,Singapore/11/2020
Mak et al	18	unknown	unknown	unknown	Singapore/17/2020,Singapore/12Clin/2020,Singapore/15/2020,Singapore/16/2020,Singapore/21/2020,Singapore/14Clin/2020,Singapore/18/2020,Singapore/19/2020,Singapore/20/2020,Singapore/41/2020,Singapore/40/2020,Singapore/42/2020,Singapore/3Clin/2020,Singapore/1/2020,Singapore/36/2020,Singapore/35/2020,Singapore/38/2020,Singapore/37/2020
Kim et al	18	unknown	unknown	unknown	Korea/KCDC2001/2020,Korea/KCDC2002/2020,SouthKorea/KCDC05/2020,Korea/KCDC2006/2020,SouthKorea/KCDC07/2020,Korea/KCDC2011/2020,Korea/KCDC2010/2020,Korea/KCDC2008/2020,Korea/KCDC2009/2020,SouthKorea/KCDC03/2020,SouthKorea/KCDC06/2020,Korea/KCDC2014/2020,Korea/KCDC2013/2020,Korea/KCDC2012/2020,SouthKorea/KCDC12/2020,Korea/KCDC2004/2020,Korea/KCDC2005/2020,Korea/KCDC2007/2020
Eden et al	6	unknown	unknown	unknown	Australia/NSW03/2020,Australia/NSW04/2020,Australia/NSW01/2020,Australia/NSW05/2020,Australia/NSW07/2020,Australia/NSW06/2020
Anderson et al	21	unknown	unknown	unknown	Singapore/5/2020,Singapore/27/2020,Singapore/4/2020,Singapore/13/2020,Singapore/12/2020,Singapore/14/2020,Singapore/22/2020,Singapore/30/2020,Singapore/23/2020,Singapore/3/2020,Singapore/2/2020,Singapore/6/2020,Singapore/25/2020,Singapore/29/2020,Singapore/26/2020,Singapore/24/2020,Singapore/34/2020,Singapore/33/2020,Singapore/28/2020,Singapore/32/2020,Singapore/31/2020
Ge et al	1	unknown	unknown	unknown	Fuyang/FY002/2020
Stefanelli et al	2	unknown	unknown	unknown	Italy/SPL1/2020,Italy/CDG1/2020
Capobianchi et al	1	unknown	unknown	unknown	Italy/INMI1-cs/2020
