Author	n (strains)	publication title	journal	publication URL	strains
Zhou et al	5	unknown	unknown	unknown	Wuhan/WIV07/2019,Wuhan/WIV05/2019,Wuhan/WIV02/2019,Wuhan/WIV06/2019,Wuhan/WIV04/2019
Chen et al	6	unknown	unknown	unknown	Wuhan/WH01/2019,HongKong/CUHK1/2020,Wuhan/WHU01/2020,Wuhan/WHU02/2020,Wuhan/WH03/2020,USA/NY-NYUMC3/2020
Ren et al	4	unknown	unknown	unknown	Wuhan/IPBCAMS-WH-01/2019,Wuhan/IPBCAMS-WH-03/2019,Wuhan/IPBCAMS-WH-02/2019,Wuhan/IPBCAMS-WH-04/2019
Tan et al	2	unknown	unknown	unknown	Wuhan/IVDC-HB-05/2019,Wuhan/IVDC-HB-01/2019
Fang et al	3	unknown	unknown	unknown	Wuhan/HBCDC-HB-01/2019,Wuhan/HBCDC-HB-02/2019,Wuhan/HBCDC-HB-03/2019
Rockett et al	4	unknown	unknown	unknown	Australia/NSW02/2020,Australia/NSW09/2020,Australia/NSW08/2020,Australia/NSW10/2020
Huang et al	8	unknown	unknown	unknown	Australia/QLDID922/2020,Australia/QLD02/2020,Australia/QLD03/2020,Australia/QLD01/2020,Australia/QLD04/2020,Australia/QLDID929/2020,Australia/QLD09/2020,Australia/QLDID924/2020
Sekizuka et al	24	unknown	unknown	unknown	Japan/KY-V-029/2020,Japan/TY-WK-501/2020,Japan/TY-WK-521/2020,Japan/TY-WK-012/2020,Japan/TK-20-31-3/2020,Japan/NA-20-05-1/2020,Japan/OS-20-07-1/2020,Japan/AI-I-004/2020,Japan/P5-3/2020,Japan/P4-8/2020,Japan/P4-6/2020,Japan/P4-7/2020,Japan/P4-1/2020,Japan/P4-3/2020,Japan/P4-2/2020,Japan/P5-1/2020,Japan/P5-2/2020,Japan/P4-5/2020,Japan/P4-4/2020,Japan/P3-1/2020,Japan/P3-2/2020,Japan/P2-1/2020,Japan/P1/2020,Japan/P2-2/2020
Queen et al	13	unknown	unknown	unknown	USA/CA8/2020,USA/CA3/2020,USA/CA4/2020,USA/WA1/2020,USA/TX1/2020,USA/CA7/2020,Korea/BA-ACH_2604/2020,Korea/BA-ACH_2719/2020,Korea/BA-ACH_2718/2020,USA/TX_2039/2020,USA/CA9/2020,USA/IL_1293/2020,USA/FL_6318/2020
Paden et al	1	unknown	unknown	unknown	USA/MA1/2020
